SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,NBA_FANTASY_PTS_RANK_ESPN,NET_ESPN,AVG_NET_ESPN
2022-23,Russell Westbrook,LAL,34.0,1.0,4655.0,57.0
2022-23,James Harden,PHI,33.0,2.0,4479.0,55.0
2022-23,Nikola Jokic,DEN,28.0,3.0,4215.0,51.0
2022-23,LeBron James,LAL,38.0,4.0,3902.0,48.0
2022-23,Stephen Curry,GSW,35.0,6.0,3752.0,46.0
2022-23,Giannis Antetokounmpo,MIL,28.0,6.0,3761.0,46.0
2022-23,Trae Young,ATL,24.0,7.0,3681.0,45.0
2022-23,Luka Doncic,DAL,24.0,8.0,3391.0,41.0
2022-23,Kevin Durant,BKN,34.0,9.0,3197.0,39.0
2022-23,Miles Bridges,CHA,25.0,10.0,3102.0,38.0
2022-23,Anthony Davis,LAL,30.0,10.0,3120.0,38.0
2022-23,De'Aaron Fox,SAC,25.0,12.0,3021.0,37.0
2022-23,Paul George,LAC,33.0,12.0,3066.0,37.0
2022-23,Hassan Whiteside,UTA,34.0,14.0,2970.0,36.0
2022-23,Andre Drummond,BKN,29.0,14.0,2942.0,36.0
2022-23,Kyrie Irving,BKN,31.0,17.0,2835.0,35.0
2022-23,DeAndre Jordan,PHI,34.0,17.0,2872.0,35.0
2022-23,Domantas Sabonis,SAC,27.0,17.0,2870.0,35.0
2022-23,Damian Lillard,POR,32.0,20.0,2820.0,34.0
2022-23,Chris Paul,PHX,38.0,20.0,2807.0,34.0
2022-23,Donovan Mitchell,UTA,26.0,20.0,2804.0,34.0
2022-23,DeMar DeRozan,CHI,33.0,20.0,2818.0,34.0
2022-23,Eric Bledsoe,POR,33.0,24.0,2676.0,33.0
2022-23,Nikola Vucevic,CHI,32.0,24.0,2672.0,33.0
2022-23,Rudy Gobert,UTA,31.0,24.0,2709.0,33.0
2022-23,Mike Conley,UTA,35.0,24.0,2692.0,33.0
2022-23,Kyle Lowry,MIA,37.0,27.0,2607.0,32.0
2022-23,Julius Randle,NYK,28.0,31.0,2581.0,31.0
2022-23,Zach LaVine,CHI,28.0,31.0,2537.0,31.0
2022-23,Jaren Jackson Jr.,MEM,23.0,31.0,2529.0,31.0
2022-23,Brook Lopez,MIL,35.0,31.0,2577.0,31.0
